speciesname,speciesabbrev,spcode,propmacro,propbrown,bitescar_m,biterate_m,biterate_b,lw_a,lw_b,bioeros_v,color
Scarus coelestinus,Sc. coelestinus,SCA COEL,,,0.000579,,,0.0201,3.02,1.93E-07,purple
Scarus coeruleus,Sc. coeruleus,SCA COER,,,,,,0.0124,3.1109,0,dark red
Scarus guacamaia,Sc. guacamaia,SCA GUAC,,,0.000579,,,0.0155,3.0626,1.93E-07,red
Scarus iseri,Sc. iseri,SCA ISER,0.029044629,0.02557587,0.0004013,-0.923866305,40.323135,0.0166,3.02,1.93E-07,orange
Scarus taeniopterus,Sc. taeniopterus,SCA TAEN,0.029044629,0.02557587,0.0004013,-0.923866305,40.323135,0.0177,3,1.93E-07,yellow
Scarus vetula,Sc. vetula,SCA VETU,0.007558103,0.00720955,0.0004013,-0.317894737,26.969942,0.0186,3.0455,1.93E-07,light green
Sparisoma aurofrenatum,Sp. aurofrenatum,SPA AURO,0.190581118,0.17134217,,,,0.0047,3.429,0,dark green
Sparisoma chrysopterum,Sp. chrysopterum,SPA CHRY,0.179171385,0.16566422,,,,0.0099,3.1708,0,light blue
Sparisoma rubripinne,Sp. rubripinne,SPA RUBR,0.39682316,0.39130549,,,,0.0194,3,0,blue
Sparisoma viride,Sp. viride,SPA VIRI,0.058896401,0.05549255,0.0005839,0.002949462,5.068258,0.025,2.9214,1.30E-06,dark blue
